Báo giá		TC_19.010	Dòng V Tổng giá trị báo giá = cộng dọc I + II + III + IV theo từng cột	P0	BG-90: Hàng hoá 2.500.000 · Dịch vụ 2.000.000 · Chi phí 1.000.000 · Vận chuyển 5.000.000 (trước VAT)	1. Đọc từng cột của 4 dòng I–IV\n2. Đối chiếu với dòng V\n3. Cộng tay từng cột để kiểm tra	Như tiền điều kiện	- Mỗi cột của dòng V = tổng đúng 4 dòng phía trên (nhập, trước VAT, giảm giá, sau GG, VAT, sau VAT)\n- Thành tiền sau VAT (V) = Thành tiền sau GG (V) + Thuế VAT (V)\n- Không cộng trùng, không bỏ sót nhóm nào					
Báo giá		TC_19.011	Quan hệ giữa các cột trên từng dòng	P1	BG-90 Loại GG = GG mặt hàng, có giảm giá ở cả hàng hoá và dịch vụ	1. Với từng dòng I, II, III, IV kiểm tra: Thành tiền sau GG = Thành tiền trước VAT − Giảm giá\n2. Kiểm tra: Thành tiền sau VAT = Thành tiền sau GG + Thuế VAT	—	- Cả 2 quan hệ đúng ở mọi dòng, kể cả dòng IV vận chuyển\n- Thuế VAT của mỗi nhóm tính trên số tiền SAU giảm giá, không phải trước giảm giá					
Báo giá		TC_19.012	Bảng cập nhật ngay khi sửa số liệu và giữ đúng sau khi Lưu	P0	BG-90 đang mở màn Sửa	1. Đổi số lượng 1 dòng hàng hoá\n2. Đổi VAT của 1 dòng\n3. Đổi giảm giá của 1 dòng\n4. Bấm Lưu nháp rồi tải lại trang	—	- Sau mỗi thao tác 1–3: các dòng liên quan và dòng V cập nhật NGAY, không cần bấm Lưu\n- Sau bước 4: số liệu trên bảng đúng bằng số trước khi Lưu					
Báo giá		TC_19.013	Người KHÔNG có quyền 'Xem giá vốn hàng hoá' — ẩn cột giá vốn nhưng vẫn nhập được giá nhập vận chuyển	P0	BG-90 do user X tạo; X KHÔNG có quyền 'Xem giá vốn hàng hoá'	1. Đăng nhập X → mở BG-90 màn Sửa\n2. Đọc cột Thành tiền nhập của dòng I, II, III, V\n3. Đọc ô Thành tiền nhập của dòng IV\n4. Đọc khu vực TSLN dưới bảng	User: người tạo, không quyền giá vốn	- Dòng I, II, III, V: cột Thành tiền nhập hiển thị '—', không lộ số\n- Dòng IV: người lập VẪN nhập được giá nhập vận chuyển (không cần quyền giá vốn)\n- KHÔNG hiển thị 'TSLN trước GG' và 'TSLN sau GG'					
Báo giá		TC_19.014	Hiển thị TSLN trước GG và TSLN sau GG	P1	BG-91 có quyền 'Xem giá vốn hàng hoá'; tổng nhập 70.000.000; tổng bán trước VAT 100.000.000	1. Mở BG-91 khi CHƯA có giảm giá → đọc 2 chỉ số TSLN\n2. Thêm giảm giá 10.000.000 → đọc lại\n3. Đối chiếu với công thức hệ thống đang áp dụng	Nhập 70tr · Bán 100tr · GG 10tr	- Cả 2 chỉ số hiển thị ở góc phải dưới bảng, có màu xanh khi ≥ 0 và đỏ khi âm\n- Khi chưa có GG: TSLN trước GG = TSLN sau GG\n- Khi có GG: TSLN sau GG NHỎ HƠN TSLN trước GG\n- Giá trị khớp công thức đang chạy: (Tổng bán − Tổng nhập) / Tổng nhập					⚠ Cần chốt công thức: TC_07.015 đang mô tả mẫu số là DOANH THU ((bán − nhập)/bán ≈ 32,04%), còn màn hình đang chia cho GIÁ VỐN ((bán − nhập)/nhập ≈ 42,86%). Cần chốt 1 công thức rồi sửa lại TC còn lại.
Báo giá		TC_19.015	Thanh tổng cuối trang khớp với dòng V của bảng	P1	BG-90 có đủ hàng hoá, dịch vụ, chi phí, vận chuyển và giảm giá	1. Đọc thanh tổng cố định ở cuối màn (Nhập / Bán / GG / VAT / Tổng)\n2. Đối chiếu từng số với dòng V của bảng Tổng hợp	—	- Nhập / Bán / GG / VAT / Tổng ở thanh cuối trang khớp 100% với dòng V\n- Cùng mã tiền tệ, cùng cách làm tròn\n- Không quyền giá vốn thì ô Nhập ở thanh cuối cũng hiện '—'					
Báo giá		TC_19.016	Bảng Tổng hợp trên màn XEM chi tiết khớp màn Sửa và ở chế độ chỉ đọc	P1	BG-92 đã Lưu, mở song song màn Sửa và màn Xem chi tiết	1. Ghi lại số liệu bảng Tổng hợp ở màn Sửa\n2. Mở màn Xem chi tiết của cùng báo giá\n3. So từng dòng, từng cột\n4. Thử sửa các ô trên màn Xem	—	- Số liệu 2 màn giống hệt nhau\n- Màn Xem: mọi ô chỉ đọc, kể cả ô vận chuyển, không có ô nhập\n- TSLN trước/sau GG hiển thị theo đúng phân quyền giá vốn					
		XX. THANH TOÁN & GHI CHÚ NỘI BỘ (báo giá độc lập)											
Báo giá	THANH TOÁN & GHI CHÚ NỘI BỘ	TC_20.001	Khu vực Thanh toán & Ghi chú nội bộ hiển thị đủ 2 trường và thu gọn được	P0	BG-93 tự lập, Đang tạo, người đăng nhập là người tạo	1. Mở màn Sửa, cuộn xuống khu vực 'Thanh toán & Ghi chú nội bộ'\n2. Bấm vào tiêu đề khu vực\n3. Bấm lại lần nữa	—	- Có 2 trường: 'Điều khoản báo giá' (có dấu * bắt buộc) và 'Ghi chú nội bộ (chỉ nội bộ)'\n- Điều khoản báo giá có thêm ô chọn 'Mẫu điều khoản báo giá' ở phía trên\n- Bấm tiêu đề: khu vực thu gọn lại, mũi tên đổi chiều; bấm lần nữa mở lại, nội dung đang nhập KHÔNG mất					
Báo giá		TC_20.002	Lưu nháp KHÔNG bắt buộc điều khoản báo giá	P0	BG-93 Đang tạo, ô Điều khoản báo giá đang trống	1. Để trống Điều khoản báo giá\n2. Bấm Lưu nháp	Điều khoản: trống	- Lưu thành công, trạng thái vẫn Đang tạo\n- KHÔNG hiện lỗi bắt buộc ở ô Điều khoản					
Báo giá		TC_20.003	Gửi duyệt khi thiếu điều khoản báo giá → chặn với lỗi inline	P0	BG-93 đã đủ điều kiện khác để gửi duyệt, Điều khoản báo giá để trống	1. Để trống hoàn toàn ô Điều khoản → bấm Gửi duyệt\n2. Gõ vài dấu cách rồi xoá hết (ô còn thẻ rỗng) → bấm Gửi duyệt lần nữa	Điều khoản: trống / chỉ khoảng trắng	- Cả 2 lần đều bị chặn, hiện lỗi ngay dưới ô: 'Vui lòng nhập điều khoản thanh toán'\n- Màn hình tự cuộn tới ô lỗi\n- Trạng thái vẫn Đang tạo, không gửi duyệt					
Báo giá		TC_20.004	Chọn mẫu điều khoản → nội dung tự điền vào ô soạn thảo	P0	Hệ thống có sẵn ≥ 2 mẫu điều khoản báo giá; ô Điều khoản của BG-93 đang trống	1. Mở dropdown 'Mẫu điều khoản báo giá'\n2. Chọn mẫu M1\n3. Sửa thêm 1 dòng vào nội dung → Lưu nháp → tải lại	Mẫu M1	- Nội dung mẫu M1 đổ đầy vào ô soạn thảo, KHÔNG hiện hộp xác nhận (vì ô đang trống)\n- Sửa được nội dung sau khi đổ mẫu\n- Sau Lưu + tải lại: giữ đúng nội dung đã sửa					
Báo giá		TC_20.005	Đổi mẫu điều khoản khi ô đã có nội dung → hỏi xác nhận	P0	Ô Điều khoản của BG-93 đang có nội dung	1. Chọn mẫu M2 → hộp xác nhận hiện ra → bấm Hủy\n2. Chọn lại mẫu M2 → bấm Đồng ý	Mẫu M1 → M2	- Hộp xác nhận nội dung: 'Nếu bạn thay đổi mẫu điều khoản, thông tin điều khoản báo giá sẽ bị thay đổi! Bạn có chắc chắn muốn thực hiện?'\n- Bấm Hủy: nội dung cũ GIỮ NGUYÊN, ô chọn mẫu quay về mẫu trước đó\n- Bấm Đồng ý: nội dung bị thay bằng mẫu M2					
Báo giá		TC_20.006	Điều khoản báo giá giữ đúng định dạng rich text	P1	BG-93 Đang tạo	1. Nhập nội dung có in đậm, in nghiêng, gạch đầu dòng và 1 bảng nhỏ\n2. Lưu nháp → tải lại trang\n3. Mở màn Xem chi tiết	Nội dung có định dạng	- Định dạng được giữ nguyên sau Lưu + tải lại\n- Màn Xem chi tiết hiển thị đúng định dạng, không lộ thẻ HTML thô					
Báo giá		TC_20.007	Biến động trong mẫu điều khoản được thay bằng giá trị thật khi Xem / In	P1	BG-94 đã duyệt, có tổng VAT > 0 và chi phí vận chuyển > 0; điều khoản dùng mẫu có biến ({{SO_BAO_GIA}}, {{TEN_KHACH_HANG}}, {{HIEU_LUC_BAO_GIA}}, {{VAT_NOTE}}, {{VAN_CHUYEN_NOTE}}, {{THANH_TIEN}})	1. Mở màn Xem chi tiết BG-94, đọc khối Điều khoản báo giá\n2. Mở bản in / xem trước bản in\n3. Tạo BG-95 không có VAT và không có chi phí vận chuyển, dùng cùng mẫu → xem lại	BG-94 có VAT + VC · BG-95 không VAT, không VC	- Các biến được thay bằng dữ liệu thật: mã báo giá, tên khách hàng, ngày hiệu lực, tổng thanh toán\n- BG-94: hiện 'Giá trên đã bao gồm thuế VAT' và 'đã bao gồm chi phí vận chuyển'\n- BG-95: hiện 'Giá trên chưa bao gồm thuế VAT' và 'chưa bao gồm chi phí vận chuyển'\n- Không còn chuỗi dạng {{...}} lộ ra ở màn Xem lẫn bản in					
Báo giá		TC_20.008	Ghi chú nội bộ không bắt buộc, lưu và hiển thị lại đúng	P0	BG-93 Đang tạo	1. Để trống Ghi chú nội bộ → Gửi duyệt\n2. Quay lại nhập nội dung ghi chú nội bộ → Lưu nháp → tải lại\n3. Mở màn Xem chi tiết	Ghi chú nội bộ: trống → có nội dung	- Bước 1: KHÔNG bị chặn vì ghi chú nội bộ (chỉ chặn nếu thiếu điều khoản)\n- Bước 2: nội dung được lưu và hiện lại đúng\n- Bước 3: màn Xem có dòng 'Ghi chú nội bộ'; nếu để trống thì dòng này KHÔNG hiện					
Báo giá		TC_20.009	Ghi chú nội bộ KHÔNG xuất hiện trên bản in gửi khách	P0	BG-94 có Ghi chú nội bộ = 'Giá sàn 90tr, không được giảm thêm'	1. Mở bản in / xem trước bản in của BG-94\n2. Tìm nội dung ghi chú nội bộ trên bản in\n3. Xuất Excel báo giá và tìm lại nội dung đó	Ghi chú nội bộ có nội dung nhạy cảm	- Bản in KHÔNG chứa nội dung ghi chú nội bộ ở bất kỳ vị trí nào\n- Bản in vẫn có Điều khoản báo giá (và Ghi chú kinh doanh nếu có)\n- File Excel xuất ra cũng không lộ nội dung ghi chú nội bộ					
Báo giá		TC_20.010	Sửa Điều khoản / Ghi chú nội bộ được ghi vào lịch sử báo giá	P1	BG-93 đã có điều khoản và ghi chú nội bộ	1. Sửa nội dung Điều khoản báo giá → Lưu\n2. Xoá trắng Ghi chú nội bộ → Lưu\n3. Mở Lịch sử của báo giá	—	- Lịch sử ghi nhận thay đổi với nhãn 'Điều khoản thanh toán' và 'Ghi chú nội bộ'\n- Mỗi mốc có giá trị cũ → giá trị mới (dạng chữ, không lộ thẻ HTML), nội dung dài bị cắt bớt kèm '...'\n- Trường bị xoá trắng hiển thị giá trị mới là '(trống)'					
Báo giá		TC_20.011	Hai trường chỉ sửa được bởi người tạo và khi trạng thái Đang tạo	P0	BG-96 do X tạo, trạng thái Chờ TP duyệt; BG-97 do X tạo, Đang tạo; user Y không phải người tạo	1. Đăng nhập Y → mở BG-97 → thử sửa 2 trường\n2. Đăng nhập X → mở BG-96 (Chờ TP duyệt) → thử sửa 2 trường\n3. Đăng nhập X → mở BG-97 (Đang tạo) → sửa 2 trường	Y ≠ người tạo · BG-96 Chờ duyệt · BG-97 Đang tạo	- Bước 1 và 2: cả ô Điều khoản, ô Ghi chú nội bộ và ô chọn mẫu đều chỉ đọc, không nhập được\n- Bước 3: sửa và lưu được bình thường					
Báo giá		TC_20.012	Sao chép báo giá — bản sao kế thừa Điều khoản và Ghi chú nội bộ	P1	BG-94 đã duyệt, có đủ điều khoản + ghi chú nội bộ	1. Sao chép BG-94\n2. Mở bản sao, xem khu vực Thanh toán & Ghi chú nội bộ\n3. Sửa điều khoản trên bản sao rồi Lưu	—	- Bản sao mang đúng nội dung Điều khoản và Ghi chú nội bộ của BG-94\n- Sửa trên bản sao KHÔNG ảnh hưởng BG-94 gốc					
