Dòng	Chức năng	Nhận xét DNS 04/09/2026 (chạy lại + test giao diện, company_id mới = 9)
49	Nhiệm vụ theo BP/NV	CÒN LỖI. Gọi thật API báo cáo cho công ty 9: trường nhóm chức vụ trả về rỗng (null) ở mọi dòng. Cùng một gốc với dòng 30 (map sai bảng rank_groups). Sửa 1 lần là hết cả 2 dòng.
50	Cấu hình	OK — dùng riêng theo công ty 9.
51	Khách hàng	Dữ liệu đã gộp: 1 khách hàng + 117 ngành + 19 lĩnh vực + 59 phạm vi KH. Việc ẩn mục Khách hàng trong HCNS là quyết định nghiệp vụ, chờ TPE chốt.
54	Phân quyền	Đã hạ toàn bộ quyền "tổng công ty" xuống "theo công ty" (14 dòng, chạy lại kiểm tra còn 0 dòng sót). NHƯNG test thật vẫn thấy rò chéo công ty ở nhiều màn vì bản thân màn không lọc company_id — xem dòng 21, 41, 65, 66, 81, 103. Phân quyền dùng riêng chỉ chặt khi các màn đó được sửa.
55	Người dùng	OK — 124 tài khoản đăng nhập được.
57	Quy định chung	OK — 1/1 dòng sang đủ.
58	Quy định làm thêm	ĐÃ HẾT LỖI (có bằng chứng giao diện). Mở màn Thiết lập > Quy định làm thêm bằng tài khoản EG: form hiện đủ dữ liệu riêng của EG (tối thiểu 60 phút, tối đa 100 giờ/tháng, làm liên tục 300 phút nghỉ 30). Không còn tình trạng "EG tự khai". Lưu ý phụ: phần "Thiết lập chức vụ không được làm thêm" đang liệt kê cả 4 công ty cho admin EG — thuộc nhóm lỗi không lọc công ty ở dòng 21.
59	Quy định nghỉ	OK — 7 loại nghỉ + 18 ngày lễ + 5 ngày cắt phép sang đủ.
60	Cài đặt	Chuyển sang cổng admin — việc bàn giao cổng admin cho TPE, ngoài phạm vi engine di trú.
62	Bảng chấm công chi tiết trong tháng	ĐÃ ĐƯA SANG (TPE chốt 05/09). Dữ liệu chấm công từ 01/01/2026 đã có trên cổng mới. Đối chiếu tháng 3/2026: nghỉ phép 72,5 và công tính lương 1.357,5 — khớp 100% cổng cũ. Các kỳ TRƯỚC 01/01/2026 vẫn không có, tra cứu ở bản lưu cổng cũ.
63	Bảng chấm công tổng hợp	ĐÃ ĐƯA SANG (TPE chốt 05/09). Đủ 4 kỳ T01–T04/2026, số nhân viên từng kỳ khớp cổng cũ (chỉ thiếu dòng của tài khoản kỹ thuật DNS Admin bị loại có chủ đích).
64	Dữ liệu chấm công	ĐÃ ĐƯA SANG (TPE chốt 05/09). 24.413 lần quẹt thẻ của năm 2026; 410 lần còn lại là của tài khoản kỹ thuật DNS Admin nên không đưa sang.
65	Danh mục địa điểm máy chấm công	CÒN LỖI (đã dựng lại, khác với đánh giá sơ bộ trước đó). Dữ liệu đã có company_id riêng (79 địa điểm của EG) NHƯNG màn không lọc: đăng nhập admin ETEK GREEN vẫn thấy đủ 9/9 địa điểm, gồm "Văn phòng Sài Gòn", "VPSG", "Kho Liên Ninh" của TPE. Cần lọc theo công ty ở API danh sách.
66	Danh mục máy chấm công	CÒN LỖI — giống dòng 65. Admin ETEK GREEN thấy cả máy chấm công của TPE ("Máy chấm công khuôn mặt bảo vệ", "Lắp đặt Liên Ninh"). Dữ liệu đã dùng riêng, màn chưa lọc.
70	Bảng phân ca tổng hợp	OK — 13 ca + chi tiết phân ca sang đủ, có lọc theo công ty.
71	Phân ca chi tiết	OK — không lệch công ty (0 dòng sai).
72	Danh mục ca làm việc	OK — 13/13.
74	Đơn xin nghỉ (quản lý đơn)	TPE chốt 05/09: ĐƯA SANG cả đơn đã duyệt có ngày nghỉ tương lai và đơn đang chờ duyệt. Đo trên dữ liệu ETEK GREEN: 13 đơn chờ duyệt + 19 đơn đã duyệt có ngày nghỉ ở tương lai (so với mốc chuyển cổng). Đơn quá khứ đã duyệt vẫn không đưa sang vì phép đã dùng được bù riêng, đưa sang sẽ trừ phép hai lần.

75	Đăng ký đi muộn về sớm	Phần cấu hình đã sang theo công ty; đơn cũ không gộp.
76	Đăng ký làm thêm	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
77	Phân công làm thêm	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
78	Phiếu yêu cầu làm thêm	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
79	Đề nghị tra soát công	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
81	Đơn xin nghỉ (phê duyệt)	CÒN LỖI NGHIÊM TRỌNG (đã dựng lại). Đăng nhập admin ETEK GREEN vào màn "Danh sách đơn xin nghỉ cần duyệt" thấy 14 đơn — TOÀN BỘ là đơn của nhân viên TPE (Phòng dự án trọng điểm, Phòng quản trị thông tin...), 0 đơn của EG. Gốc: hàm duyệt đơn chỉ lọc theo trạng thái chờ NSHC duyệt, KHÔNG lọc công ty, nên nhân sự công ty A duyệt được đơn công ty B. Lỗ hổng này chỉ lộ ra sau khi gộp cổng. DNS ưu tiên sửa.
82	Đơn kết thúc nghỉ phép	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
83	Đơn kết thúc đăng ký đi muộn về sớm	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
84	Đăng ký đi muộn về sớm (duyệt)	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
85	Đăng ký làm thêm (duyệt)	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
86	Phiếu yêu cầu làm thêm (duyệt)	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
87	Đề nghị tra soát công (duyệt)	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
88	Thiết bị chấm công	Dữ liệu 241 thiết bị đã sang, gắn công ty 9. Nhưng màn hiển thị chưa lọc công ty — xem dòng 66.
91	Phiếu giao việc	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
92	Phiếu đi công tác	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
93	Duyệt gia hạn/kết thúc công tác	CHƯA LÀM (loại phiếu khác) — Riêng ĐƠN XIN NGHỈ đã đưa sang theo yêu cầu TPE (xem dòng 74). Các loại phiếu còn lại (làm thêm, công tác, tra soát công) dùng CÙNG cơ chế lọc "còn giá trị sau ngày chuyển cổng" — DNS làm tiếp khi TPE xác nhận cần.
95	Báo cáo tổng hợp chấm công	CHƯA KIỂM CHỨNG ĐƯỢC trên local. Mở màn ra 0 bản ghi vì dữ liệu chấm công cũ không gộp theo chốt, nên chưa dựng lại được lỗi "số ngày nghỉ không lý do". Đề nghị TPE test lại trên prod sau khi công ty gộp đã có chấm công mới.
96	Báo cáo tổng hợp công tác	Phụ thuộc quyết định ở dòng 91 (có gộp phiếu công tác hay không).
97	Báo cáo làm thêm giờ	Phụ thuộc quyết định ở dòng 74/76.
98	Báo cáo làm thêm giờ chi tiết	Phụ thuộc quyết định ở dòng 74/76.
99	Báo cáo phép	TPE chốt 05/09 làm theo hướng B — đã ĐƯA DỮ LIỆU CHẤM CÔNG TỪ 01/01/2026 sang. Nay báo cáo phép hiển thị ĐÚNG TỪNG THÁNG như cổng cũ (T1 97,5 · T2 147 · T3 80,5 · T4 35 · T5 21,5 · T6 42 · T7 9), không còn dồn hết vào ô "Số phép nghỉ ngoài PM". Số phép còn lại của 125/125 nhân viên khớp cổng cũ.

102	Thành phần lương	OK — 49 thành phần sang đủ, service đã lọc đúng theo công ty (dùng riêng).
103	Mẫu bảng lương	CÒN LỖI QUYỀN (lỗi app). SalaryTemplateService::index() không lọc company_id → xem được mẫu bảng lương của công ty khác. Sửa cùng nhóm dòng 21/41/65/66/81. Dữ liệu mẫu bảng lương 1/1 đã sang đúng.
104	Thành phần tính thưởng	ĐÚNG THIẾT KẾ — dữ liệu cũ không gộp, dùng riêng theo phân quyền.
117	Bảng chi trả	TPE yêu cầu 07/09: đã ĐƯA SANG cùng cả chuỗi bảng lương (5 bảng). Chạy trên UAT: 21 dòng, 0 khoá ngoại lỗi. Bảng chi trả vẫn trống vì cổng ETEK GREEN vốn chưa dùng chức năng này (0 dòng ở nguồn) — không phải mất dữ liệu.
119	Báo cáo bảng chi trả	Đã đưa bảng lương + bảng chi trả sang (xem dòng 117) nên báo cáo này có nguồn dữ liệu. Với ETEK GREEN thì bảng chi trả vốn rỗng ở cổng cũ nên báo cáo vẫn trống — không phải mất dữ liệu.
121	Danh mục cơm (thực đơn / máy check-in)	TPE báo màn đăng ký cơm lỗi 05/09 — đã tìm ra 2 lỗi và sửa xong: (1) database cơm và database nhân sự để lệch nhau sau khi gộp; (2) 19 hồ sơ cơm ETEK GREEN trỏ nhầm sang nhân sự Tân Phát. Xem chi tiết ở cột bên phải. Riêng thực đơn / máy check-in / thiết lập cơm vẫn thuộc Tân Phát — chờ TPE xác nhận cách áp cho công ty thành viên.

122	Bảng đăng ký cơm	ĐÃ HẾT LỖI. Sau bước relink, công ty cơm EG về đúng tenant TPE (parent 1, công ty 9) và giữ nguyên 7.551 đăng ký, trong đó 58 bản ghi ngày tương lai. Nghi vấn vì sao lần trước TPE thấy chưa gộp: nhiều khả năng lần đó chạy bằng seeder theo runbook cũ nên chưa chạy 2 bước cơm (phải chạy tay), hoặc dùng lệnh gộp 1 lần company:migrate-full như DNS vừa chạy.
123	Đăng ký suất ăn	ĐÃ HẾT LỖI — cùng kết quả dòng 122, dữ liệu đăng ký không mất. Lưu ý: 19 hồ sơ cơm trỏ tới NV không còn ở HR (đã nghỉ/xoá ở nguồn), TPE rà giúp.
124	Thông báo cơm	Giữ nguyên trong hệ thống (đã re-tag 40.005 dòng theo nhân sự mới).
125	Báo cáo cơm	ĐÃ HẾT LỖI — dữ liệu cơm gồm cả bản ghi tương lai vẫn còn nguyên sau relink.
128	Dự án và giao việc	Chưa dùng — các danh mục của phân hệ này để dùng riêng theo công ty.
129	Đào tạo	Danh mục đào tạo (loại đào tạo, môn, giảng viên, ngân hàng câu hỏi) đã gộp theo công ty 9 — dùng riêng.
130	Quyết định	Chưa dùng — danh mục để dùng riêng.
