Dòng	Trạng thái sửa	Hướng sửa & kiểm chứng (DNS 04/09/2026)
49	ĐÃ SỬA	Cùng một nguyên nhân với dòng 30, sửa 1 lần là hết. KIỂM CHỨNG: báo cáo nhiệm vụ theo phòng ban/nhân viên của ETEK GREEN đã trả về tên nhóm chức vụ (trước đó để trống).
58	ĐÃ HẾT LỖI (không cần sửa)	Kiểm tra lại trên giao diện: quy định làm thêm của ETEK GREEN hiện đủ số liệu riêng (tối thiểu 60 phút, tối đa 100 giờ/tháng, làm liên tục 300 phút nghỉ 30). Không còn tình trạng phải tự khai.
65	ĐÃ SỬA	Danh mục địa điểm máy chấm công nay lọc theo công ty người dùng quản lý (dùng đúng quy tắc lọc sẵn có của phần mềm, đang áp cho chức danh/chức vụ/nhóm ngạch). File: Modules/Timesheet/Entities/LocationConnInfo.php. KIỂM CHỨNG: admin ETEK GREEN từ 9 địa điểm còn 5 (đúng của ETEK GREEN), không còn thấy "Văn phòng Sài Gòn"/"Kho Liên Ninh" của Tân Phát; admin Tân Phát vẫn thấy 4 địa điểm của mình. Lọc cũng áp cho ô chọn địa điểm trong phiếu làm thêm.
66	ĐÃ SỬA	Danh mục máy chấm công lọc theo công ty, cùng cách với dòng 65. File: Modules/Timesheet/Entities/ConnInfo.php. KIỂM CHỨNG: admin ETEK GREEN chỉ còn thấy 3 máy của mình; admin Tân Phát thấy 19 máy của Tân Phát. Tiến trình tự động lấy dữ liệu máy chấm công chạy nền không bị ảnh hưởng (không có người đăng nhập thì không lọc).
81	ĐÃ SỬA	Hai việc: (1) màn duyệt đơn xin nghỉ giới hạn theo công ty đang làm việc (trừ khi có quyền xem cấp tổng công ty) — trước đây nhân sự công ty này duyệt được đơn nghỉ công ty kia, là lỗ hổng nặng nhất tìm được; (2) theo yêu cầu TPE 05/09, đã ĐƯA SANG đơn đã duyệt có ngày nghỉ tương lai và đơn chờ duyệt — chi tiết ở dòng 74. File: Modules/Timesheet/Services/AttendanceService.php. KIỂM CHỨNG: admin ETEK GREEN thấy 15 đơn (13 chờ duyệt cũ + đơn mới đưa sang), toàn bộ thuộc phòng ban ETEK GREEN, không còn đơn nào của Tân Phát; admin Tân Phát vẫn duyệt được đơn của mình.
88	ĐÃ SỬA	Được sửa cùng dòng 66 (thiết bị chấm công lọc theo công ty).
103	ĐÃ SỬA	Danh sách và ô chọn mẫu bảng lương lọc theo công ty đang làm việc, giống cách đã làm đúng ở thành phần lương. File: Modules/Payroll/Services/SalaryTemplateService.php. KIỂM CHỨNG: ETEK GREEN thấy 1 mẫu của mình, Tân Phát thấy 4 mẫu của Tân Phát.
121	ĐÃ SỬA 2 LỖI + CÒN 1 VIỆC CHỜ TPE	TPE báo màn "Quản lý đăng ký cơm của bạn" lỗi. Rà lại toàn bộ phân hệ cơm, tìm ra 2 lỗi: || LỖI 1 — CẤU HÌNH: phân hệ cơm dùng KẾT NỐI DATABASE RIÊNG. Trước khi gộp, mỗi cổng có database nhân sự riêng nhưng cơm thì dùng chung một database — nên sau khi gộp, database cơm PHẢI TRÙNG database nhân sự. Nếu để lệch thì bước nối lại dữ liệu cơm ghi vào một database, còn phần mềm lại đọc database khác → màn cơm báo lỗi. Đã thêm KIỂM TRA CHẶN NGAY ở lệnh gộp và lệnh nối cơm: nếu 2 database khác nhau thì dừng, in rõ tên 2 database và cách sửa, thay vì chạy tiếp rồi ghi hỏng dữ liệu. (Trên production 2 cái vốn đã là một nên không ảnh hưởng.) || LỖI 2 — NGHIÊM TRỌNG, TRỎ NHẦM NGƯỜI: khi nối lại dữ liệu cơm, bản ghi nào KHÔNG tìm được nhân sự tương ứng thì trước đây GIỮ NGUYÊN mã cũ — mà mã cũ là mã bên cổng thành viên, sang hệ thống gộp lại trùng mã của NGƯỜI KHÁC bên Tân Phát. Đo thật: 19 hồ sơ cơm của ETEK GREEN đang trỏ sang nhân sự Tân Phát (Nguyễn Hữu Tuấn, Trần Văn Khải...) — suất ăn có thể tính nhầm người. Nay NGẮT LIÊN KẾT thay vì giữ mã sai, GIỮ NGUYÊN bản ghi và lịch sử đăng ký, và IN RA DANH SÁCH để TPE rà. KIỂM CHỨNG: 125 hồ sơ cơm nối đúng nhân sự ETEK GREEN, 19 hồ sơ mồ côi đã ngắt, 0 hồ sơ còn trỏ nhầm công ty khác, 0 bản ghi của công ty khác bị ảnh hưởng; 7.551 đăng ký cơm giữ nguyên (46 ngày tương lai); màn cơm mở được bình thường bằng cả tài khoản ETEK GREEN lẫn Tân Phát. || VIỆC CÒN LẠI CHỜ TPE: thực đơn / máy check-in / thiết lập cơm vẫn thuộc Tân Phát, ETEK GREEN mới được gán vào 1 ngày thực đơn. Cần TPE xác nhận công ty thành viên có ăn theo đúng thực đơn Tân Phát không và áp từ ngày nào, DNS mới gán tự động (gán bừa sẽ tạo đăng ký sai). Ngoài ra 19 hồ sơ cơm mồ côi ở trên cần TPE quyết gán lại cho ai hoặc dọn đi.

74	ĐÃ LÀM (TPE chốt 05/09)	TPE yêu cầu ĐƯA SANG cả đơn ĐÃ DUYỆT có ngày nghỉ ở tương lai VÀ đơn ĐANG CHỜ DUYỆT. Đã làm: đưa bảng đơn xin nghỉ vào danh sách di trú với điều kiện lấy = (đã duyệt VÀ ngày kết thúc từ NGÀY CHUYỂN CỔNG trở đi) HOẶC (đang chờ duyệt, bất kể ngày). KHÔNG lấy đơn quá khứ đã duyệt vì số phép đã dùng của chúng được bù riêng — lấy thêm sẽ TRỪ PHÉP HAI LẦN. Thêm tham số --cutover-date=yyyy-mm-dd để chạy di trú trước ngày chuyển cổng vẫn lấy đúng (mặc định lấy ngày chạy lệnh). LƯU Ý KỸ THUẬT: cột người nộp đơn và người thay thế tuy tên là employee_id/substituter_id nhưng thực chất trỏ HỒ SƠ NHÂN SỰ (đã đối chiếu 962/962 và 948/948 bản ghi) — khai sai sẽ gán đơn cho người khác. KIỂM CHỨNG: dựng 12 đơn giả phủ các tình huống, chạy di trú, ĐÚNG 12/12: đã duyệt tương lai → sang; đã duyệt quá khứ → không sang; gửi duyệt (dù quá khứ) → sang; chờ NSHC duyệt → sang; từ chối/nháp → không sang; đơn của người bị loại → không sang; người thay thế bị loại → đơn vẫn sang và để trống người thay thế; ngày kết thúc ĐÚNG ngày chuyển cổng → sang; trước 1 ngày → không sang; đơn vắt qua mốc → sang. Khoá ngoại sạch: 0 đơn trỏ nhân sự/loại nghỉ/phòng ban của công ty khác. Trên giao diện màn Đơn xin nghỉ cần duyệt: admin ETEK GREEN thấy 15 đơn, toàn phòng ban của ETEK GREEN. File: config/company_migration.php + CompanyMigrationService.php (filter pending_or_future) + CompanyMigrateFull.php.
95	ĐÃ LÀM (TPE chốt 05/09)	Sau khi đưa dữ liệu chấm công 2026 sang, báo cáo này đã có dữ liệu và ĐỐI CHIẾU KHỚP 100% với cổng cũ: tháng 3/2026 — số phút đi muộn/về sớm 2.130, số lần đi muộn 129, số ngày nghỉ không lý do 50,5. Đề nghị TPE mở màn kiểm tra lại giúp, nếu còn lệch thì gửi ảnh chụp + tháng + tên nhân viên.

99	ĐÃ LÀM THEO HƯỚNG B (TPE chốt 05/09)	TPE chốt: ĐƯA DỮ LIỆU CHẤM CÔNG TỪ 01/01/2026 SANG (các năm cũ không lấy) để báo cáo hiển thị đúng như cổng cũ. Đã làm xong. Đưa sang 4 bảng: bảng công theo ngày (10.616 dòng), lần quẹt thẻ (24.413), kỳ chấm công (4 kỳ) và chi tiết kỳ (269 dòng). Đồng thời phần BÙ PHÉP tự động thu hẹp về 0 — vì phép đã nghỉ nay tính được từ chính bảng chấm công, nếu vẫn bù sẽ TRỪ PHÉP HAI LẦN (đã kiểm: ô "nghỉ ngoài PM" ở cổng mới = 0, đúng bằng cổng cũ). Thêm tham số --timesheet-from=2026-01-01 vào lệnh gộp; bỏ trống thì quay về cách cũ. || KẾT QUẢ ĐỐI CHIẾU VỚI CỔNG CŨ: (1) BÁO CÁO PHÉP — số phép theo TỪNG THÁNG khớp tuyệt đối (T1 97,5 · T2 147 · T3 80,5 · T4 35 · T5 21,5 · T6 42 · T7 9), ví dụ Hà Huy Tiến hiện đúng T1=1, T2=3, T3=10; số phép còn lại của 125/125 nhân viên không ai lệch. (2) BẢNG CHẤM CÔNG CHI TIẾT tháng 3/2026: nghỉ phép 72,5 và công tính lương 1.357,5 — khớp 100% cổng cũ. (3) BÁO CÁO TỔNG HỢP CHẤM CÔNG tháng 3/2026: số phút đi muộn/về sớm 2.130, số lần đi muộn 129, nghỉ không lý do 50,5 — khớp 100%. (4) BẢNG CHẤM CÔNG TỔNG HỢP: đủ 4 kỳ T01–T04/2026 với số nhân viên từng kỳ khớp. || KHÁC BIỆT DUY NHẤT: mỗi kỳ thiếu đúng 1 dòng và 410 lần quẹt thẻ — toàn bộ là của tài khoản kỹ thuật DNS Admin (bị loại có chủ đích vì trùng với tài khoản bên Tân Phát), không phải mất dữ liệu nhân sự thật. || LƯU Ý VẬN HÀNH: khối lượng chuyển tăng từ 25.294 lên 60.596 dòng nên lệnh chạy lâu hơn — cần tính vào cửa sổ bảo trì. Dữ liệu chấm công TRƯỚC 01/01/2026 vẫn không đưa sang; muốn tra cứu năm cũ thì xem ở bản lưu của cổng cũ.

122	ĐÃ HẾT LỖI (không cần sửa)	Dữ liệu đăng ký cơm giữ nguyên 7.551 bản ghi (58 bản ghi ngày tương lai). Nguyên nhân lần trước TPE thấy chưa gộp: nhiều khả năng chạy theo hướng dẫn cũ nên bỏ sót 2 bước xử lý cơm phải chạy tay. Từ nay dùng 1 lệnh duy nhất company:migrate-full là chạy đủ cả cơm.
0	GHI CHÚ CHUNG	(1) 31 danh mục của ETEK GREEN bị thêm đuôi "(ETEK GREEN)" vào tên (ngạch, chức danh, năng lực, nhóm chức vụ, mức ưu tiên, nhóm quyền) là do phần mềm đang bắt buộc TÊN DANH MỤC KHÔNG ĐƯỢC TRÙNG trên toàn hệ thống — 2 công ty không thể cùng có "NHÂN VIÊN 1". Muốn bỏ đuôi này phải sửa ràng buộc thành "không trùng trong cùng công ty", ảnh hưởng toàn bộ hệ thống → cần TPE quyết trước khi làm. (2) Riêng TÊN CÔNG TY đã xử lý xong: công ty mới lấy đúng tên gốc, bản ghi ETEK GREEN cũ (đã ngừng hoạt động) được đổi thành "... (cũ)". (3) Cột Người tạo/Người cập nhật của danh mục di trú nay có thể khai người đứng tên thay thế (tham số MIGRATION_AUDIT_FALLBACK_EMPLOYEE_ID) — đã chạy thử: 67/67 chức danh và 117/117 ngành nghề có Người tạo. (4) 7 bộ phận mất trưởng bộ phận do người phụ trách cũ là tài khoản kỹ thuật bị loại — TPE gán lại giúp. (5) 19 hồ sơ cơm trỏ tới nhân viên không còn ở hệ thống nhân sự — TPE rà giúp. (6) DANH MỤC DÙNG CHUNG nay TỰ BỔ SUNG phần cổng đích còn thiếu (làm cho ngân hàng — xem dòng 17): ghép theo tên trước, cái nào đích chưa có thì chèn tiếp vào danh mục đích rồi ghép sang, chỉ bỏ qua khi đụng mã đã có. Công ty gộp sau nếu có chuyên ngành / khu vực / danh mục dùng chung khác mà đích chưa có thì bật cùng cơ chế này, không phải nhập tay. (7) Đã kiểm và KHÔNG đổi danh mục loại hợp đồng lao động (dòng 37) — chốt dùng chung, thêm vào chỉ gây trùng tên. (8) ẢNH NHÂN SỰ đã xử lý theo hướng đẩy lên kho ảnh chung (xem dòng 34) — không còn phụ thuộc cổng cũ còn sống hay không. TPE chỉ cần đưa thư mục sao lưu ảnh, hoặc chạy bước đẩy ảnh trong lúc cổng cũ chưa tắt.
117	ĐÃ LÀM (TPE yêu cầu 07/09)	Màn Bảng chi trả không đứng một mình — nó móc vào bảng lương, nên phải đưa cả chuỗi 5 bảng đúng thứ tự cha → con: bảng lương → dòng lương từng người → chi tiết thành phần lương → bảng chi trả → chi trả từng người. Các thứ chúng phụ thuộc (mẫu bảng lương, thành phần lương, danh mục ngân hàng, hồ sơ nhân sự, phòng ban) đều đã đưa sang từ trước. ⚠️ LƯU Ý KỸ THUẬT: cột người nhận lương tuy tên là employee_id nhưng thực chất trỏ HỒ SƠ NHÂN SỰ (đã đối chiếu dữ liệu nguồn), khai theo tên cột sẽ GÁN LƯƠNG CHO NGƯỜI KHÁC — đây là cái bẫy thứ ba cùng kiểu, sau đơn xin nghỉ và hồ sơ cơm. || KẾT QUẢ TRÊN UAT: 21 dòng (bảng lương 1 kỳ, 1 dòng lương nhân viên, 19 dòng chi tiết thành phần), 0 khoá ngoại lỗi, 0 bản ghi trỏ nhầm công ty khác. RIÊNG BẢNG CHI TRẢ vẫn TRỐNG vì ở cổng ETEK GREEN vốn chưa dùng chức năng này (0 dòng ở nguồn) — không phải lỗi. Công ty gộp sau (ETEK POWER, ETEK) nếu có dữ liệu chi trả thì sẽ sang đủ. || CÁCH CHẠY CHO CÔNG TY ĐÃ GỘP RỒI: không phải nạp lại database, dùng lệnh bổ sung `php artisan company:migrate-tables --source=1 --run=<nhãn> --tables=salary,salary_employees,salary_employee_data,payments,payment_employees`. Lệnh có chốt chống chạy trùng.
